study,domain,instrument,outcome,ctrl_cat,dlogmean_ctl,dlogsd_ctl,dlogmean_mbp,dlogsd_mbp,predicted_dlogsd_mbp,residual
Christopher 2018,Psychosomatic outcomes,PROMIS,Sleep difficulties,passive,-0.017216790486838156,-0.2690708449339646,-0.06710642378322716,-0.18879407129957204,0.014869396404310807,-0.20366346770388286
Christopher 2018,Real life functioning,Connor-Davidson Resilience Scale,Resilience,passive,0.012665834922261737,0.016985546365743807,0.026403374655447204,-0.1414218953869375,0.06233282567242977,-0.20375472105936726
Christopher 2018,Relationship with self,SCS,Self-compassion,passive,0.034626126249134484,-0.10552179297452127,0.02522388922394855,-0.14508717367391133,0.06173414591602512,-0.20682131958993644
DeVibe 2013,Distress,e 12-item General Health Questionnaire (GHQ12),Psychological Distress,passive,0.008458335702738318,-0.029365894804364426,-0.3006272370438178,-0.41303134849148015,-0.10366041317598228,-0.30937093531549786
DeVibe 2013,Mental wellbeing,Subjective well-being scale 4 item version,Wellbeing,passive,-0.048009219186360724,0.0,0.07637297878457396,-0.2513144282809062,0.08769625079727528,-0.3390106790781815
DeVibe 2013,Mindfulness,FFMQ subscales,Mindfulness,passive,0.005204328782577491,0.06687061375986056,0.04047278150675824,-0.011104612533454511,0.06947413394259501,-0.08057874647604953
DeVibe 2013,Real life functioning,MBI,Burnout,passive,0.07232066157962608,-0.05218575317057031,0.018405427542715343,-0.02449102000829587,0.05827325113143382,-0.08276427113972969
Dvorakova 2017,Anxiety,GAD-7,Anxiety,passive,0.04573968005101182,-0.12160713209478699,-0.2724146003209924,-0.09572520367415431,-0.08934032576354768,-0.006384877910606629
Dvorakova 2017,Depression,PHQ,Depression,passive,0.1498398393454384,0.11452342857934604,-0.19435013265956186,0.16016875215282136,-0.04971659219693518,0.20988534434975653
Dvorakova 2017,Mental wellbeing,Satisfaction with Life Scale SWLS,Life satisfaction,passive,-0.06374483530729186,0.09596398826174374,0.07394383053196234,-0.05606389414659883,0.08646327085084518,-0.142527164997444
